,X,Y,Z
LM 1,0.014220576511645048,-0.04501950878422543,-0.02475907552424557
LM 2,-0.009612076365907048,-0.04619558837116428,-0.02465598456532873
LM 3,0.05410538311145332,0.0932580854901021,-0.003028978348191969
LM 4,-0.06083541052852328,0.08862981482992237,-0.007258011781418799
LM 5,-0.0003492661294179976,0.04146363890206448,-0.034552159508899796
LM 6,-0.0031006577768721037,0.02596099120366962,0.10590514235160162
LM 7,0.01110145741479403,-0.038941533806492484,0.01172160092190678
LM 8,-0.008748030566264687,-0.03949607145212567,0.010846170794595692
LM 9,0.050830528187287345,-0.025712602468681733,0.009394655721191386
LM 10,-0.048895220737643824,-0.028072340243443968,0.006277866727947026
LM 11,0.03317398073929675,-0.016497211041089675,-0.04337784912273931
LM 12,-0.029137053637033537,-0.017097795062081932,-0.04598582000473775
LM 13,0.06816586041125178,0.052737016506583224,0.030135965805211277
LM 14,-0.07418108856469244,0.054930069605004496,0.029263557527226647
LM 15,0.015752916999725905,0.06145248755785419,-0.03908707562966727
LM 16,-0.01758347496485639,0.06101475030334204,-0.0394926757591695
LM 17,0.05006793876948299,-0.028496529484383606,0.01624515713951712
LM 18,-0.048955926929699106,-0.03051847931052233,0.013289983174457577
LM 19,0.05267557533642826,-0.02658573972877925,0.019023810556886407
LM 20,-0.051827663405413456,-0.028487535099864052,0.01598264680245086
LM 21,0.047046680851080755,-0.02707303458459418,0.03604167046900494
LM 22,-0.04742085029516782,-0.028907682480084528,0.032997680576396266
LM 23,0.0010709306511220394,-0.050819565115519945,0.02972429148072127
LM 24,0.056459659194818095,-0.012838947833113075,-0.0042851226541566435
LM 25,-0.05542926831856824,-0.016076788053429703,-0.006991126495736465
LM 26,-0.004235421295851372,0.12743875702229854,0.047991867347231904
LM 27,0.03073352399095044,-0.037948609243112975,-0.008969389527531514
LM 28,-0.0274851373367787,-0.0399966405183626,-0.010285622135499349
LM 29,0.03330497127871232,-0.04088704238559585,0.02766530025823607
LM 30,-0.031933946374818646,-0.04107638534694561,0.025849543486987706
LM 31,0.054878774917817674,0.053937748651508306,-0.03954810570413373
LM 32,-0.05698241275488846,0.051378219958775,-0.0418655181088544
LM 33,0.05750343481579844,0.007075979609020619,0.05453334754115158
LM 34,-0.06170948482996397,0.006010966494413896,0.05558234112296616
LM 35,0.007872434531198881,-0.04678571915478061,-0.0326881247134509
LM 36,-0.002856733078347219,-0.047072756520612206,-0.0328413401497722
LM 37,0.0011674292481644994,-0.048740631881415315,0.02049747396991954
LM 38,-0.0019012725467982203,0.13268799874165632,0.009860769787857819
LM 39,-0.001141093219536962,0.07871813172877926,-0.039753602444667774
LM 40,0.05539312715918414,0.04409096047579478,-0.011596519683460562
LM 41,-0.0589250855534231,0.04113607247510091,-0.01395972289753321
LM 42,0.003379857715920921,-0.05354357670146082,-0.04970452577032982
LM 43,0.054078657394628145,0.009319454240729741,0.06767531587134736
LM 44,-0.05952766881817021,0.0055393136113319145,0.06288238935433464
LM 45,0.002947326270748908,-0.05147260974496171,-0.038470507825302064
LM 46,0.06461854184670418,0.012875128447230556,-0.010684419633277079
LM 47,-0.06526068551666181,0.011218959245230932,-0.013531704416159676
LM 48,0.04598755813707495,-0.02660415265092906,-0.027118211913437617
LM 49,-0.04299386130899074,-0.028814573449675546,-0.029609139280000838
LM 50,0.027601606276831874,-0.03802281137084149,-0.007562218965855408
LM 51,-0.02447692997129834,-0.03998743921963029,-0.008670861861337531
LM 52,0.06103310868967505,0.003178525061818613,-0.015277008389731336
LM 53,-0.060631278513409805,0.0005115930985831397,-0.018134840331646276
LM 54,0.05874140392579372,-0.006828044240434228,-0.0064692905336212895
LM 55,-0.05777624503859301,-0.009946717912460722,-0.00917399510925323
