"","V1","V2"
"1",1,35
"2",2,36
"3",36,45
"4",35,45
"5",7,50
"6",50,27
"7",45,42
"8",27,9
"9",9,17
"10",17,19
"11",19,29
"12",29,7
"13",29,37
"14",37,23
"15",8,30
"16",30,20
"17",20,18
"18",18,10
"19",10,28
"20",28,51
"21",51,8
"22",30,37
"23",48,11
"24",49,12
"25",24,54
"26",54,52
"27",52,46
"28",25,55
"29",55,53
"30",53,47
"31",21,33
"32",33,43
"33",22,34
"34",34,44
"35",6,26
"36",26,38
"37",38,3
"38",38,4
"39",38,39
"40",39,15
"41",39,16
"42",15,5
"43",16,5
"44",6,14
"45",6,13
"46",14,41
"47",4,41
"48",13,40
"49",3,40
"50",3,31
"51",40,31
"52",4,32
"53",41,32
"54",6,43
"55",6,44
"56",43,23
"57",44,23
"58",6,23
